D30742_at	ENSG00000152495	CAMK4
D30755_at	ENSG00000145901	TNIP1
D30756_at	ENSG00000188554	NBR1
D31628_s_at	ENSG00000158104	HPD
D31716_at	ENSG00000119138	KLF9
D31762_at	ENSG00000065308	TRAM2
D31763_at	ENSG00000189180	ZNF33A
D31764_at	ENSG00000115234	SNX17
D31815_at	ENSG00000130988	RGN
D31833_s_at	ENSG00000198049	AVPR1B
D31840_s_at	ENSG00000111676	ATN1
D31883_at	ENSG00000099204	ABLIM1
D31885_at	ENSG00000170540	ARL6IP1
D31886_at	ENSG00000115839	RAB3GAP1
D31887_at	ENSG00000104635	SLC39A14
D31888_at	ENSG00000089902	RCOR1
D31889_at	ENSG00000095261	PSMD5
D31897_at	ENSG00000149927	DOC2A
D32002_s_at	ENSG00000136937	NCBP1
D32050_at	ENSG00000090861	AARS
D32202_at	ENSG00000120907	ADRA1A
D37781_s_at	ENSG00000149177	PTPRJ
D37984_s_at	ENSG00000004700	RECQL
D37984_s_at	ENSG00000274584	RP11-819M15.2
D38024_at	ENSG00000237635	DUX4L29
D38024_at	ENSG00000258834	DUX4L4
D38024_at	ENSG00000260596	DUX4
D38024_at	ENSG00000274599	DUX4L24
D38024_at	ENSG00000275610	DUX4L21
D38024_at	ENSG00000276046	DUX4L13
D38024_at	ENSG00000276164	DUX4L20
D38024_at	ENSG00000276904	DUX4L14
D38024_at	ENSG00000276964	DUX4L23
D38024_at	ENSG00000277162	DUX4L30
D38024_at	ENSG00000277274	DUX4L22
D38024_at	ENSG00000277521	MIR8078
D38024_at	ENSG00000278641	DUX4L15
D38024_at	ENSG00000278664	DUX4L10
D38024_at	ENSG00000278761	DUX4L11
D38024_at	ENSG00000278790	DUX4L12
D38024_at	ENSG00000279626	DUX4L28
D38024_at	ENSG00000280337	DUX4L25
D38024_at	ENSG00000280457	DUX4L2
D38024_at	ENSG00000280757	DUX4L1
D38024_at	ENSG00000280799	DUX4L5
D38024_at	ENSG00000281058	DUX4L6
D38024_at	ENSG00000281591	DBET
D38024_at	ENSG00000281627	DUX4L3
D38024_at	ENSG00000281652	DUX4L7
D38024_at	ENSG00000281720	DUX4L8
D38037_at	ENSG00000119782	FKBP1B
D38037_at	ENSG00000205639	MFSD2B
D38073_at	ENSG00000112118	MCM3
D38081_at	ENSG00000006638	TBXA2R
D38122_at	ENSG00000117560	FASLG
D38128_at	ENSG00000160013	PTGIR
D38163_s_at	ENSG00000082293	COL19A1
D38251_s_at	ENSG00000099817	POLR2E
D38293_at	ENSG00000070718	AP3M2
D38305_at	ENSG00000141232	TOB1
D38449_at	ENSG00000166073	GPR176
D38449_at	ENSG00000283382	AC023908.1
D38491_at	ENSG00000054267	ARID4B
D38491_at	ENSG00000188739	RBM34
D38496_s_at	ENSG00000099949	LZTR1
D38498_f_at	ENSG00000127957	PMS2P3
D38502_at	ENSG00000078319	PMS2P1
D38502_at	ENSG00000127957	PMS2P3
D38502_at	ENSG00000174384	RP11-313P13.4
D38502_at	ENSG00000229018	PMS2P7
D38502_at	ENSG00000230305	AC004980.9
D38502_at	ENSG00000265479	DTX2P1-UPK3BP1-PMS2P11
D38502_at	ENSG00000273598	PMS2P6
D38502_at	ENSG00000273897	CH17-264B6.4
D38502_at	ENSG00000276840	PMS2P10
D38502_at	ENSG00000277125	CH17-264B6.3
D38502_at	ENSG00000278416	PMS2P2
D38503_at	ENSG00000151834	GABRA2
D38521_at	ENSG00000068878	PSME4
D38522_at	ENSG00000132718	SYT11
D38524_at	ENSG00000076685	NT5C2
D38537_s_at	ENSG00000143224	PPOX
D38549_at	ENSG00000273749	CYFIP1
D38550_at	ENSG00000112242	E2F3
D38551_at	ENSG00000164754	RAD21
D38552_at	ENSG00000113593	PPWD1
D38555_at	ENSG00000176986	SEC24C
D38583_at	ENSG00000163191	S100A11
D38751_at	ENSG00000079616	KIF22
D42038_at	ENSG00000122548	KIAA0087
D42039_at	ENSG00000117899	MESDC2
D42040_s_at	ENSG00000204256	BRD2
D42043_at	ENSG00000131378	RFTN1
D42044_at	ENSG00000127463	EMC1
D42045_at	ENSG00000198924	DCLRE1A
D42053_at	ENSG00000140943	MBTPS1
D42054_at	ENSG00000166037	CEP57
D42055_at	ENSG00000069869	NEDD4
D42063_at	ENSG00000153201	RANBP2
D42072_at	ENSG00000196712	NF1
D42073_at	ENSG00000049449	RCN1
D42073_at	ENSG00000214455	RCN1P2
D42084_at	ENSG00000164024	METAP1
D42087_at	ENSG00000080371	RAB21
D42108_at	ENSG00000115896	PLCL1
D42138_at	ENSG00000069943	PIGB
D43636_at	ENSG00000163788	SNRK
D43638_at	ENSG00000079102	RUNX1T1
D43767_at	ENSG00000102970	CCL17
D43768_at	ENSG00000143184	XCL1
D43772_at	ENSG00000141738	GRB7
D43947_at	ENSG00000007202	KIAA0100
D43948_at	ENSG00000175216	CKAP5
D43950_at	ENSG00000150753	CCT5
D43951_at	ENSG00000134644	PUM1
D43968_at	ENSG00000159216	RUNX1
D44466_at	ENSG00000173692	PSMD1
D45132_at	ENSG00000116731	PRDM2
D45248_at	ENSG00000100911	PSME2
D45370_at	ENSG00000148671	ADIRF
D45399_at	ENSG00000139053	PDE6H
D45906_at	ENSG00000182541	LIMK2
D45917_s_at	ENSG00000100234	TIMP3
D49354_s_at	ENSG00000131626	PPFIA1
D49357_at	ENSG00000151224	MAT1A
D49372_s_at	ENSG00000172156	CCL11
D49387_at	ENSG00000106853	PTGR1
D49387_at	ENSG00000283263	AL135787.1
D49394_at	ENSG00000166736	HTR3A
D49396_at	ENSG00000165672	PRDX3
D49410_at	ENSG00000185291	IL3RA
D49488_at	ENSG00000137561	TTPA
D49489_at	ENSG00000143870	PDIA6
D49490_at	ENSG00000065485	PDIA5
D49493_at	ENSG00000266524	GDF10
D49817_at	ENSG00000170525	PFKFB3
D49818_at	ENSG00000114268	PFKFB4
D49950_at	ENSG00000150782	IL18
D50370_at	ENSG00000186310	NAP1L3
D50402_at	ENSG00000018280	SLC11A1
D50477_s_at	ENSG00000156103	MMP16
D50487_at	ENSG00000067596	DHX8
D50525_at	ENSG00000253352	TUG1
D50532_at	ENSG00000132514	CLEC10A
D50550_at	ENSG00000131899	LLGL1
D50582_at	ENSG00000187486	KCNJ11
D50640_at	ENSG00000152270	PDE3B
D50645_at	ENSG00000132581	SDF2
D50663_at	ENSG00000146425	DYNLT1
D50678_at	ENSG00000157193	LRP8
D50683_at	ENSG00000163513	TGFBR2
D50692_at	ENSG00000214114	MYCBP
D50692_at	ENSG00000274944	RP5-864K19.6
D50810_at	ENSG00000113441	LNPEP
D50840_at	ENSG00000148154	UGCG
D50840_at	ENSG00000266315	MIR4668
D50855_s_at	ENSG00000036828	CASR
D50855_s_at	ENSG00000283187	CASR
D50857_at	ENSG00000150760	DOCK1
D50863_at	ENSG00000107140	TESK1
D50913_at	ENSG00000165688	PMPCA
D50914_at	ENSG00000261236	BOP1
D50915_at	ENSG00000226777	KIAA0125
D50916_at	ENSG00000110344	UBE4A
D50917_at	ENSG00000179833	SERTAD2
D50918_at	ENSG00000125354	SEPT6
D50919_at	ENSG00000106785	TRIM14
D50920_at	ENSG00000008838	MED24
